provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Imbabura,476257,0.3626780000000000,-78.13066700000000,160.47%,160.47%,160.75%,161.05%,161.36%,161.73%,162.11%,162.22%,81.14%,81.35%,81.61%,81.83%,82.04%,82.21%,82.28%,82.32%,82.49%,82.63%,82.71%,82.78%,82.84%,82.86%,82.88%,82.94%,83.06%,83.18%,83.29%,83.38%
Loja,521154,-3.983333000000000,-79.20000000000000,155.08%,155.09%,155.32%,155.55%,155.84%,156.12%,156.39%,156.46%,78.26%,78.46%,78.71%,78.98%,79.23%,79.44%,79.52%,79.6%,79.74%,79.88%,79.98%,80.07%,80.14%,80.17%,80.19%,80.27%,80.34%,80.41%,80.46%,80.51%
Los Ríos,921763,-1.800000000000000,-79.53333300000000,121.39%,121.39%,121.79%,122.26%,122.91%,123.57%,124.08%,124.24%,62.17%,62.49%,62.91%,63.3%,63.6%,63.84%,63.9%,63.93%,64.12%,64.3%,64.47%,64.65%,64.94%,65.02%,65.06%,65.22%,65.41%,65.57%,65.76%,65.92%
Manabí,1562079,-1.056181000000000,-80.45521700000000,152.17%,152.19%,152.46%,152.84%,153.34%,153.87%,154.34%,154.45%,77.27%,77.62%,77.93%,78.2%,78.44%,78.63%,78.67%,78.69%,78.84%,79%,79.14%,79.28%,79.41%,79.45%,79.46%,79.58%,79.69%,79.8%,79.89%,79.97%
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,103.26%,103.29%,103.59%,103.94%,104.14%,104.6%,104.63%,104.63%,52.93%,53.27%,53.61%,53.99%,54.22%,54.44%,54.49%,54.58%,54.81%,54.99%,55.12%,55.26%,55.32%,55.36%,55.38%,55.5%,55.63%,55.72%,55.8%,55.82%
Napo,133705,-0.9890000000000000,-77.81590000000000,144.46%,144.49%,144.72%,145.14%,145.59%,145.92%,146.14%,146.36%,73.24%,73.52%,73.55%,73.86%,73.97%,74.34%,74.42%,74.51%,74.67%,74.68%,74.81%,74.97%,75.06%,75.09%,75.12%,75.13%,75.24%,75.33%,75.44%,75.44%
Orellana,161338,-0.4666670000000000,-76.96666700000000,137.49%,137.49%,137.76%,138.08%,138.39%,138.71%,139.13%,139.22%,69.04%,69.4%,69.8%,70.23%,70.23%,70.55%,70.7%,70.78%,71.04%,71.05%,71.18%,71.39%,71.61%,71.66%,71.68%,71.76%,71.84%,71.95%,72.06%,72.22%
Pastaza,114202,-1.066667000000000,-78.00111099999999,121.09%,121.14%,121.42%,121.74%,122.04%,122.34%,122.58%,122.76%,61.51%,61.67%,61.87%,62.11%,62.29%,62.45%,62.52%,62.57%,62.74%,62.96%,63.12%,63.27%,63.4%,63.47%,63.52%,63.62%,63.7%,63.75%,63.82%,63.89%
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,167.82%,167.84%,168.07%,168.32%,168.57%,168.84%,169.13%,169.22%,84.49%,84.64%,84.8%,84.96%,85.08%,85.21%,85.26%,85.29%,85.38%,85.45%,85.51%,85.57%,85.59%,85.59%,85.61%,85.66%,85.7%,85.75%,85.79%,85.82%
Santa Elena,401178,-2.226700000000000,-80.85830000000000,124.03%,124.05%,124.47%,125.25%,125.77%,126.47%,127.13%,127.26%,63.69%,63.95%,64.18%,64.42%,64.62%,64.81%,64.94%,65.05%,65.23%,65.39%,65.44%,65.58%,65.74%,65.82%,65.84%,65.99%,66.15%,66.27%,66.4%,66.52%
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,131.55%,131.61%,132.06%,132.59%,133.12%,133.67%,134.24%,134.42%,67.3%,67.62%,68.02%,68.41%,68.78%,69.07%,69.12%,69.19%,69.5%,69.73%,69.94%,70.14%,70.31%,70.35%,70.37%,70.53%,70.68%,70.88%,71.01%,71.18%
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,127.25%,127.41%,127.71%,128%,128.34%,128.65%,128.98%,129.26%,64.74%,65.05%,65.32%,65.59%,65.82%,65.99%,66.11%,66.23%,66.41%,66.56%,66.72%,66.85%,66.98%,67.07%,67.15%,67.24%,67.38%,67.5%,67.61%,67.7%
Tungurahua,590600,-1.241667000000000,-78.61972200000000,157.09%,157.1%,157.3%,157.58%,157.83%,158.12%,158.37%,158.44%,79.23%,79.37%,79.51%,79.81%,79.98%,80.11%,80.32%,80.38%,80.61%,80.73%,80.86%,80.93%,81.04%,81.12%,81.15%,81.27%,81.39%,81.47%,81.54%,81.6%
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,128.52%,128.55%,128.85%,129.36%,129.79%,130.15%,130.59%,130.8%,65.53%,65.92%,66.37%,66.85%,67.26%,67.7%,67.87%,68.03%,68.24%,68.4%,68.52%,68.62%,68.78%,68.81%,68.88%,68.98%,69.09%,69.18%,69.25%,69.32%
